date,weekday,week_number,month,post_slot,camera,camera_submode,format,look,scene_type,cast,sibling_canon,concept,prompt_seed,caption_type,caption,product,product_sku,seasonal_hook,notes
2026-09-11,Friday,37,September,fri,Camera A,HANDED,9:16,AVAILABLE,HEIGHTENED,ROULEUR,STAIRWELL,Rare height or space without spectacle.,"[Camera A HANDED 9:16, phone documentary] + [SILVER] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur paused on landing, city below soft, breath visible] + [worn Rapha jersey under open gilet, grease-marked gloves] + [dawn overlook above city] + [distant tram light, breath vapour, fog on railing, loose lace] + [cool silver ambient, fluorescent or overcast] + [subject cropped mid-torso awkwardly] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"late summer road, still warm at dusk.",no,,late summer heat still in training; UCI Road Worlds Montreal atmosphere distant,rare height; keep non-spectacle
2026-09-12,Saturday,37,September,sat,Camera A,POV,4:5,AVAILABLE,PROOF,ROULEUR,BOXER CROP,Quiet evidence of the week written down.,"[Camera B 4:5, still photographer, sibling feel BOXER CROP] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [rouleur logging numbers, head down, pen moving] + [worn Rapha jersey under open gilet, grease-marked gloves] + [printed week plan taped to fridge] + [old pace printout, torn race bib edge, coffee ring stain, pen uncapped] + [cool silver ambient, fluorescent or overcast] + [focus soft on nearest plane] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,session logged. nothing else to say.,no,,late summer heat still in training; UCI Road Worlds Montreal atmosphere distant,
2026-09-14,Monday,38,September,mon,Camera B,,1:1,SILVER,SWEAT,GRAPPLER,BETWEEN ROUNDS,"Interval residue: wet floor, unfinished set.","[Camera B 1:1, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [grappler mid-interval, breathing hard, unfinished rep] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [basement gym Zurich] + [towel knotted, chalk block cracked, water bottle on side, HR strap dangling] + [cool silver ambient, fluorescent or overcast] + [focus soft on nearest plane] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,the floor stays wet longer than it should.,no,,late summer heat still in training; UCI Road Worlds Montreal atmosphere distant,
2026-09-15,Tuesday,38,September,tue,Camera B,,1:1,SILVER,SWEAT,ROULEUR,BETWEEN ROUNDS,Mid-session breath catch with no hero angle.,"[Camera B 1:1, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [rouleur mid-interval, breathing hard, unfinished rep] + [worn Rapha jersey under open gilet, grease-marked gloves] + [basement gym Zurich] + [towel knotted, chalk block cracked, HR strap dangling, water bottle on side] + [cool silver ambient, fluorescent or overcast] + [focus soft on nearest plane] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,tape peel left on the bench.,no,,late summer heat still in training; UCI Road Worlds Montreal atmosphere distant,
2026-09-17,Thursday,38,September,thu,Camera B,,4:5,SEAMLESS,OBJECT,GRAPPLER,COAST,"Quiet vial study; no administration, no claim.","[Camera B 4:5, still photographer, sibling feel COAST] + [SEAMLESS] + [85mm macro-ish, soft north light, seamless depth] + [product vial alone on seamless, no hands, no face] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [matte grey product surface] + [vial reflection soft, glass glint, label edge soft focus, cotton swab nearby] + [soft north window, even seamless fill] + [negative space uneven, subject off-third] + no one looking at camera, no posing, no logos on footwear, product as quiet object subject, documentary photograph not advertising",flat observation,glass on seamless. nothing else in frame.,yes,SEMAX+,late summer heat still in training; UCI Road Worlds Montreal atmosphere distant,composite vial after; Magnific board; never generate vial
2026-09-18,Friday,38,September,fri,Camera B,,4:5,SEAMLESS,OBJECT,OPERATOR,COUNTER,"Product as still object on seamless, lifestyle world elsewhere.","[Camera A SELF 9:16, phone documentary] + [SEAMLESS] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [product vial alone on seamless, no hands, no face] + [utility pants, black base layer, tape on one finger] + [window ledge soft north light] + [glass glint, label edge soft focus, vial reflection soft, cotton swab nearby] + [soft north window, even seamless fill] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, product as quiet object subject, documentary photograph not advertising",flat observation,glass on seamless. nothing else in frame.,yes,MOTS-C+,late summer heat still in training; UCI Road Worlds Montreal atmosphere distant,composite vial after; Magnific board; never generate vial
2026-09-19,Saturday,38,September,sat,Camera A,,landscape_kitchen,AVAILABLE,KITCHEN,GRAPPLER,COUNTER,"Fuel as routine, not content cuisine.","[Camera A landscape landscape_kitchen, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [grappler plating plain food, kettle steam, no smile] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [morning prep island] + [cut lemon half, rice cooker lid ajar, protein scoop in sink, shopping list magnet] + [mixed available light, practical lamps, window spill] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,fruit bowl empties faster in heat.,no,,late summer heat still in training; UCI Road Worlds Montreal atmosphere distant,
2026-09-21,Monday,39,September,mon,Camera B,,4:5,SILVER,GYM,GRAPPLER,GRAPPLE,Hardware and chalk without a PR face.,"[Camera B 4:5, still photographer, sibling feel GRAPPLE] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [grappler between sets, hands on knees, empty bay] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [sled lane after last pull] + [timer blinking, jump rope coiled wrong, wrist wraps draped, bumper plate on edge] + [cool silver ambient, fluorescent or overcast] + [flare streak cutting face out of frame] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,changing room after heat.,no,,UCI Road Worlds Montreal week atmosphere; MTB marathon season ending,
2026-09-22,Tuesday,39,September,tue,Camera B,,1:1,SILVER,GYM,FIGHTER,GRAPPLE,Hardware and chalk without a PR face.,"[Camera B 1:1, still photographer, sibling feel GRAPPLE] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [fighter between sets, hands on knees, empty bay] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [cable rack corner] + [timer blinking, jump rope coiled wrong, bumper plate on edge, wrist wraps draped] + [cool silver ambient, fluorescent or overcast] + [depth falloff too abrupt mid-body] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"basement gym, zurich. same smell as always.",no,,UCI Road Worlds Montreal week atmosphere; MTB marathon season ending,
2026-09-24,Thursday,39,September,thu,Camera A,POV,4:5,AVAILABLE,PROOF,MILER,BOXER CROP,Numbers before narrative; log first.,"[Camera B 2.39:1, still photographer, sibling feel BOXER CROP] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [miler logging numbers, head down, pen moving] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [kitchen counter with notebook] + [coffee ring stain, old pace printout, pen uncapped, torn race bib edge] + [cool silver ambient, fluorescent or overcast] + [flare streak cutting face out of frame] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,worlds week somewhere else. same intervals here.,yes,GHK-CU+,UCI Road Worlds Montreal week atmosphere; MTB marathon season ending,product peripheral only; lifestyle-first
