date,channel,scene,camera,submode,look,cast,format,sibling,caption_type,product,woman_subject,published,blocker
2026-09-16,Instagram feed,SWEAT,Camera B,,SILVER,FIGHTER,4:5,BETWEEN ROUNDS,flat observation,no,yes,yes,
2026-09-16,Instagram story,SWEAT,Camera B,,SILVER,FIGHTER,9:16,BETWEEN ROUNDS,flat observation,no,yes,yes,
2026-09-16,Facebook Page,SWEAT,Camera B,,SILVER,FIGHTER,4:5,BETWEEN ROUNDS,flat observation,no,yes,no,"permission refused on /{page-id}/photos: OAuthException code 200 'publish_actions not available' despite pages_manage_posts in token scopes; not retried, no permission settings touched"
2026-09-16,Threads,SWEAT,Camera B,,SILVER,FIGHTER,4:5,BETWEEN ROUNDS,flat observation,no,yes,no,"threads_content_publish not granted; skipped per standing instruction, not attempted"
2026-09-17,Instagram feed,PROOF,Camera A,unknown,AVAILABLE,ROULEUR,4:5,NOTEBOOK,log,no,unknown,yes,"NOT posted by this run. Backfilled after the fact: published 07:13 WITA by unmerged branch claude/elegant-wozniak-yp53e2 (asset commit b0d34e1, its own ledger commit b4fe3fc never merged to main), bypassing this ledger. Confirmed against Irvan's own Notion day log (feed+story posted, facebook blocked on permission again, threads skipped, 0 comments). submode/woman_subject unverified. permalink https://www.instagram.com/p/DdXb0ZhFHmt/ caption 'week's splits written. coffee already gone.' posted 2026-09-16T23:10:49Z"
2026-09-17,Instagram story,PROOF,Camera A,unknown,AVAILABLE,ROULEUR,9:16,NOTEBOOK,log,no,unknown,yes,"NOT posted by this run. Backfilled after the fact, same session as the feed row above; Irvan's own Notion day log confirms 'story shared.' No separate media id retrievable via the IG API (stories expire off /media). Same unmerged-branch caveats apply."
2026-09-17,Facebook Page,PROOF,Camera A,unknown,AVAILABLE,ROULEUR,4:5,NOTEBOOK,log,no,unknown,no,"NOT posted by this run. Backfilled: blocked again on the same publish_actions/OAuthException code 200 permission gap as 2026-09-16, per Irvan's own Notion day log ('facebook page blocked again ... not retried, no permission settings touched'). Confirms the Page permission grant is still outstanding on Irvan's side."
2026-09-17,Instagram feed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,flat observation,unknown,unknown,yes,"NOT posted by this run. SECOND live feed post same calendar day, 14 min after the row above, same unmerged branch session, no matching asset commit found anywhere in social-assets history. Appears to violate one-post-per-day cadence; scene/camera/cast unverifiable. permalink https://www.instagram.com/p/DdXda8xEQiR/ caption 'chalk dust on the gi. nothing else in frame.' posted 2026-09-16T23:24:45Z. Flagged for review."
2026-09-17,Instagram feed,PROOF,Camera A,HANDED,AVAILABLE,ROULEUR,4:5,FUEL LAY,log,no,no,no,"Generated frame (Camera A, HANDED, roadside cyclist refuel, canon sibling FUEL LAY) passed brand gate and plausibility gate but was NOT published: guard check found two feed posts already live for the 2026-09-17 Makassar date (see two rows above) before this run reached step 7. Stood down per the no-double-post rule. No channel published this run."
2026-09-17,Threads,PROOF,Camera A,unknown,AVAILABLE,ROULEUR,4:5,NOTEBOOK,log,no,no,yes,"Posted by this run 12:46 WITA (2026-09-17T04:46:08Z), late because THREADS_ACCESS_TOKEN was an invalid 32-char placeholder until Irvan regenerated it via the Meta User Token Generator. Token verified against /v1.0/me (username zurichbiotech, id 29274520832135805) before publishing. No image generated and no feed/story re-post: reused the already-published feed frame social-assets b0d34e1 (1440x1800, 4:5) per the one-image-per-day rule. Threads conversion of the withheld feed caption per STANDING_POST_RULE section 7, 164 chars. permalink https://www.threads.com/@zurichbiotech/post/DdYCL_0HAlp. woman_subject confirmed no by inspecting the asset, which the backfilled feed/story rows above left as unknown."
